tn_id,sku,nombre,marca,precio,stock,url,publicado
351969778,T491215-PAV,Bersa CUERPO DEL SEGURO AUTOMATICO DEL PERCUTOR,Bersa,10353.46,5,https://jgo.com.ar/productos/bersa-cuerpo-del-seguro-automatico-del-percuto/,SI
351969787,T901207P-PAV,Bersa CUERPO DEL SEGURO AUTOMÁTICO DE PERCUTOR,Bersa,10339.67,5,https://jgo.com.ar/productos/bersa-cuerpo-del-seguro-automatico-de-percutor/,SI
351969797,TP380CCA40-PAV,Bersa CUERPO DEL SENSOR,Bersa,13243.82,5,https://jgo.com.ar/productos/bersa-cuerpo-del-sensor/,SI
351969808,T492402-PAV,Bersa CUERPOR DEL RETEN DE CARGADOR,Bersa,16822.08,5,https://jgo.com.ar/productos/bersa-cuerpor-del-reten-de-cargador/,SI
351969818,LUBRICANTE0002,Bersa DENSCOBRANTE x 6 unidades,Bersa,75150.80,5,https://jgo.com.ar/productos/bersa-denscobrante-x-6-unidades/,SI
351969827,T902416-PAV,Bersa DESAMARTILLADOR,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-desamartillador/,SI
351969837,T904008-PAV,Bersa DESCONECTOR,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-desconector/,SI
351969846,T904001P-PAV,Bersa DISPARADOR,Bersa,20739.11,5,https://jgo.com.ar/productos/bersa-disparador/,SI
351969855,T905103-PAV,Bersa EMPUJADOR DE MARTILLO FULL,Bersa,10390.24,5,https://jgo.com.ar/productos/bersa-empujador-de-martillo-full/,SI
351969864,T915103-PAV,Bersa EMPUJADPR DE MARTILLO COMPACTA,Bersa,10390.24,5,https://jgo.com.ar/productos/bersa-empujadpr-de-martillo-compacta/,SI
351969872,TP22B27,Bersa ESPINA ELASTICA DEL CAÑON,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-espina-elastica-del-canon/,SI
351969883,T491305,Bersa ESPINA ELASTICA DEL EXTRACTOR NUEVO ( POSTERIOR 2022 ),Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-espina-elastica-del-extractor-nuevo-po/,SI
351969893,TP22B26,Bersa ESPINA ELASTICA DEL FIADOR,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-espina-elastica-del-fiador/,SI
351969902,T902421,Bersa ESPINA ELASTICA DEL SEGURO,Bersa,3834.28,5,https://jgo.com.ar/productos/bersa-espina-elastica-del-seguro/,SI
351969912,T901223P,Bersa ESPINA EXTERIOR TOPE DE PERCUTOR,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-espina-exterior-tope-de-percutor/,SI
351969921,T901503P,Bersa ESPINA INDICADOR DE BALA EN RECAMARA,Bersa,3834.28,5,https://jgo.com.ar/productos/bersa-espina-indicador-de-bala-en-recamara/,SI
351969930,T901222P,Bersa ESPINA INTERIOR TOPE DE PERCUTOR,Bersa,3848.07,5,https://jgo.com.ar/productos/bersa-espina-interior-tope-de-percutor/,SI
351969938,T908003FSPL,Bersa ESTUCHE CHICO BERSA - Medidas: 23x15cm ( ROJO ),Bersa,29422.60,5,https://jgo.com.ar/productos/bersa-estuche-chico-bersa-medidas-23x15cm/,SI
351969940,T902310P-PAV,Bersa EXPULSOR,Bersa,6597.35,5,https://jgo.com.ar/productos/bersa-expulsor/,SI
351969943,T451210-PAV,Bersa EXTRACTOR,Bersa,11374.10,5,https://jgo.com.ar/productos/bersa-extractor/,SI
351969945,T901210-PAV,Bersa EXTRACTOR (ANTERIOR 2022),Bersa,11217.79,5,https://jgo.com.ar/productos/bersa-extractor-anterior-2022/,SI
351969947,T901214-PAV,Bersa EXTRACTOR 2020,Bersa,11378.70,5,https://jgo.com.ar/productos/bersa-extractor-2020/,SI
351969949,TP23A5-PAV,Bersa EXTRACTOR 22,Bersa,11493.63,5,https://jgo.com.ar/productos/bersa-extractor-22/,SI
351969951,T901215-PAV,Bersa EXTRACTOR NUEVO (POSTERIOR 2022),Bersa,11217.79,5,https://jgo.com.ar/productos/bersa-extractor-nuevo-posterior-2022/,SI
351969952,T905207-PAV,Bersa FIADOR,Bersa,9673.04,5,https://jgo.com.ar/productos/bersa-fiador/,SI
351969955,T492018,Bersa FRAME BP 9 / 380 / 40 Color CELESTE,Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-celeste/,SI
351969957,T497002,Bersa FRAME BP 9 / 380 / 40 Color Desert (FDE),Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-desert-fde/,SI
351969961,T492021,Bersa FRAME BP 9 / 380 / 40 Color Gris,Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-gris/,SI
351969963,T492012,Bersa FRAME BP 9 / 380 / 40 Color MARRON,Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-marron/,SI
351969964,T496000,Bersa FRAME BP 9 / 380 / 40 Color Negro,Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-negro/,SI
351969965,T492016,Bersa FRAME BP 9 / 380 / 40 Color ROSA,Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-rosa/,SI
351969968,T497000,Bersa FRAME BP 9 / 380 / 40 Color Verde Oliva (OD),Bersa,46899.42,5,https://jgo.com.ar/productos/bersa-frame-bp-9-380-40-color-verde-oliva/,SI
351969970,TP22D1AR,"Bersa GRUPO DISPARADOR ARMADO - COMPLETO - DISPARADOR, BUJE Y RESORTE",Bersa,15235.96,5,https://jgo.com.ar/productos/bersa-grupo-disparador-armado-completo-dis/,SI
351969971,TP22M1AR,Bersa GRUPO MARTILLO 22 - 380 - 380cc - 380 PLUS,Bersa,16445.09,5,https://jgo.com.ar/productos/bersa-grupo-martillo-22-380-380cc-380-pl/,SI
351969973,TP22R1AR,Bersa GRUPO RETEN CARGADOR,Bersa,9608.68,5,https://jgo.com.ar/productos/bersa-grupo-reten-cargador/,SI
351969975,T905106-PAV,Bersa GUIA DEL EJE DE MARTILLO,Bersa,3834.28,5,https://jgo.com.ar/productos/bersa-guia-del-eje-de-martillo/,SI
351969976,T451103-PAV,Bersa GUIA RESOERTE RECUPERADOR,Bersa,11466.05,5,https://jgo.com.ar/productos/bersa-guia-resoerte-recuperador/,SI
351969978,T911103-PAV,Bersa GUIA RESORTE RECUPERADOR COMPACTA,Bersa,11580.98,5,https://jgo.com.ar/productos/bersa-guia-resorte-recuperador-compacta/,SI
351969979,T901103-PAV,Bersa GUIA RESORTE RECUPERADOR FULL 9/40,Bersa,11580.98,5,https://jgo.com.ar/productos/bersa-guia-resorte-recuperador-full-9-40/,SI
351969982,TN GUION XT,Bersa GUION ALTO CIEGO - PARA XT - PARA USAR CON ALZA LPA - ACERO,Bersa,22651.20,5,https://jgo.com.ar/productos/bersa-guion-alto-ciego-para-xt-para-usar-c/,SI
351969983,TN GUIONFIBRA 7,Bersa GUION DE FIBRA ROJO - THUNDER 380 - ACERO,Bersa,39796.90,5,https://jgo.com.ar/productos/bersa-guion-de-fibra-rojo-thunder-380-acer/,SI
351969987,TN GUIONFIBRA 6,Bersa GUION DE FIBRA VERDE - THUNDER 380 - ACERO,Bersa,39796.90,5,https://jgo.com.ar/productos/bersa-guion-de-fibra-verde-thunder-380-ace/,SI
351969989,T491405-PIN,Bersa GUION TPR - THUNDER PRO - BP,Bersa,10339.67,5,https://jgo.com.ar/productos/bersa-guion-tpr-thunder-pro-bp/,SI
351969991,TP380A1-4-PIN,Bersa GUIÓN,Bersa,9011.01,5,https://jgo.com.ar/productos/bersa-guion/,SI
351969992,TP22A24AR,Bersa GUIÓN 22-6,Bersa,12120.56,5,https://jgo.com.ar/productos/bersa-guion-22-6/,SI
351969994,T901314PX-PAV,Bersa GUIÓN LPA ALTO -ITALIANO - PARA MODELOS TPR XT / THUNDER XT,Bersa,50571.95,5,https://jgo.com.ar/productos/bersa-guion-lpa-alto-italiano-para-modelos/,SI
351969996,T901316P-PAV,Bersa GUIÓN LPA BAJO - ITALIANO - PARA MODELOS TPR XP,Bersa,50571.95,5,https://jgo.com.ar/productos/bersa-guion-lpa-bajo-italiano-para-modelos/,SI
351969999,GF-POUNIA,Bersa HOLSTER NIVEL 2 PARA BERSA BP9FS - CLIP PARA CINTURON REGULABLE - UNIVERSAL,Bersa,53073.62,5,https://jgo.com.ar/productos/bersa-holster-nivel-2-para-bersa-bp9fs-clip/,SI
351970001,T901501-PAV,Bersa INDICADOR BALA EN RECAMARA,Bersa,10339.67,5,https://jgo.com.ar/productos/bersa-indicador-bala-en-recamara/,SI
351970002,T451501-PAV,Bersa INDICADOR DE BALA EN RECAMARA,Bersa,10339.67,5,https://jgo.com.ar/productos/bersa-indicador-de-bala-en-recamara/,SI
351970004,KIT000030,Bersa JUEGO DE ALZA Y GUION DE FIBRA OPTICA VERDE BP - FIBRA de 1mm BAJO PERFIL EN ALUMINIO ANODIZADO,Bersa,72829.90,5,https://jgo.com.ar/productos/bersa-juego-de-alza-y-guion-de-fibra-optica-ve/,SI
351970007,KIT000029,Bersa JUEGO DE ALZA Y GUIONDE FIBRA OPTICA ROJA BP - FIBRA de 1mm BAJO PERFIL EN ALUMINIO ANODIZADO,Bersa,72829.90,5,https://jgo.com.ar/productos/bersa-juego-de-alza-y-guionde-fibra-optica-roj/,SI
351970008,KIT000024,Bersa KIT ALIVIANADOR PARA PISTOLA COMPACTA -- TPRc THUNDER UC / THUNDER PRO UC,Bersa,31230.10,5,https://jgo.com.ar/productos/bersa-kit-alivianador-para-pistola-compacta/,SI
351970011,KIT000018,Bersa KIT ALIVIANADOR TPR / THUNDER / THUNDER PRO,Bersa,31230.10,5,https://jgo.com.ar/productos/bersa-kit-alivianador-tpr-thunder-thunder/,SI
351970014,TN TOOLKIT001,Bersa KIT DE HERRAMIENTAS PARA DESARME (Color del Bolso según disponibilidad- OD - TAN - NEGRO),Bersa,97193.25,5,https://jgo.com.ar/productos/bersa-kit-de-herramientas-para-desarme-color/,SI
351970017,KIT380NIKEL,Bersa KIT DE PIEZAS MOVILES NIQUELADAS PARA THUNDER 380,Bersa,108881.85,5,https://jgo.com.ar/productos/bersa-kit-de-piezas-moviles-niqueladas-para-th/,SI
351970018,KITRABIZA,Bersa KIT DE RABIZA PARA TPR - INCLUYE : RABIZA DE NYLON + TOPE DE RESORTE DE MARTILLO EXTENDIDO + ANILLA + ESPINA DE...,Bersa,48248.75,5,https://jgo.com.ar/productos/bersa-kit-de-rabiza-para-tpr-incluye-rabiz/,SI
351970020,T902102-PAV,Bersa LEVA DE CAÑÓN,Bersa,13838.33,5,https://jgo.com.ar/productos/bersa-leva-de-canon/,SI
351970022,T904006-PAV,Bersa LEVA DEL SEGURO AUTOMATICO,Bersa,6597.35,5,https://jgo.com.ar/productos/bersa-leva-del-seguro-automatico/,SI
351970025,TP22D7-PAV,Bersa LEVA SEGURO AUTOMATICO DEL PERCUTOR,Bersa,4776.75,5,https://jgo.com.ar/productos/bersa-leva-seguro-automatico-del-percutor/,SI
351970028,TP22LLAV,Bersa LLAVE DEL SEGURO DE BLOQUEO INTEGRAL,Bersa,5702.12,5,https://jgo.com.ar/productos/bersa-llave-del-seguro-de-bloqueo-integral/,SI
351970031,LUBRICANTE0001,Bersa LUBRICANTE EN AEROSOL x 12 unidades,Bersa,139319.58,5,https://jgo.com.ar/productos/bersa-lubricante-en-aerosol-x-12-unidades/,SI
351970036,T905003-PAV,Bersa MARTILLO,Bersa,20697.73,5,https://jgo.com.ar/productos/bersa-martillo/,SI
351970037,T908008PL,Bersa NUEVO ESTUCHE CHICO BERSA - Medidas: 25x17cm,Bersa,29422.60,5,https://jgo.com.ar/productos/bersa-nuevo-estuche-chico-bersa-medidas-25x/,SI
351970039,T902207P-PAV,Bersa PALANCA DE DESARME,Bersa,15681.91,5,https://jgo.com.ar/productos/bersa-palanca-de-desarme/,SI
351970041,TP22A16-PAV,Bersa PALANCA DE SEGURO,Bersa,15916.38,5,https://jgo.com.ar/productos/bersa-palanca-de-seguro/,SI
351970043,T402301-PAV,Bersa PALANCA RETEN CORREDERA - DESARME,Bersa,16822.08,5,https://jgo.com.ar/productos/bersa-palanca-reten-corredera-desarme/,SI
351970045,TP22A33-PAV,Bersa PALANCA RETEN CORREDERA 22,Bersa,18380.62,5,https://jgo.com.ar/productos/bersa-palanca-reten-corredera-22/,SI
351970047,TP380A33-PAV,Bersa PALANCA RETEN DE CORREDERA,Bersa,18380.62,5,https://jgo.com.ar/productos/bersa-palanca-reten-de-corredera/,SI
351970049,TP380CCA16-PAV,Bersa PALANCA SEGURO,Bersa,13838.33,5,https://jgo.com.ar/productos/bersa-palanca-seguro/,SI
351970050,T901205P-PAV,Bersa PERCUTOR,Bersa,10735.05,5,https://jgo.com.ar/productos/bersa-percutor/,SI
351970052,TP22A7-PAV,Bersa PERCUTOR 22,Bersa,10725.86,5,https://jgo.com.ar/productos/bersa-percutor-22/,SI
351970053,T901205PXT-PAV,Bersa PERCUTOR EXTENDIDO TPR / THUNDER / THUNDER PRO,Bersa,17369.55,5,https://jgo.com.ar/productos/bersa-percutor-extendido-tpr-thunder-thund/,SI
351970056,P22B1-5,Bersa PERNO,Bersa,3333.15,5,https://jgo.com.ar/productos/bersa-perno/,SI
351970058,TP22B1-6-PAV,Bersa PERNO DE CACHA,Bersa,6643.32,5,https://jgo.com.ar/productos/bersa-perno-de-cacha/,SI
351970060,T904003-PAV,Bersa PERNO DE DISPARADOR,Bersa,7659.36,5,https://jgo.com.ar/productos/bersa-perno-de-disparador/,SI
351970063,T492501-PAV,Bersa PERNO DE ENSAMBLE,Bersa,6606.54,5,https://jgo.com.ar/productos/bersa-perno-de-ensamble/,SI
351970068,TP22B21-PAV,Bersa PERNO DE MARTILLO,Bersa,7659.36,5,https://jgo.com.ar/productos/bersa-perno-de-martillo/,SI
351970070,TP380CCA41-PAV,Bersa PERNO DE TRANSMISIÓN DEL SENSOR,Bersa,3333.15,5,https://jgo.com.ar/productos/bersa-perno-de-transmision-del-sensor/,SI
351970072,TP22B1-4-PAV,Bersa PERNO DEL DISPARADOR,Bersa,7659.36,5,https://jgo.com.ar/productos/bersa-perno-del-disparador/,SI
351970074,T901211-PAV,Bersa PERNO DEL EXTRACTOR ( ANTERIOR 2020 ),Bersa,7645.56,5,https://jgo.com.ar/productos/bersa-perno-del-extractor-anterior-2020/,SI
351970076,T905208-PAV,Bersa PERNO DEL FIADOR,Bersa,7631.77,5,https://jgo.com.ar/productos/bersa-perno-del-fiador/,SI
351970078,T492404-PAV,Bersa PERNO DEL RETEN DE CARGADOR,Bersa,6606.54,5,https://jgo.com.ar/productos/bersa-perno-del-reten-de-cargador/,SI
351970080,T491210-PAV,Bersa PERNO DEL RETEN DE PERCUTOR,Bersa,1930.93,5,https://jgo.com.ar/productos/bersa-perno-del-reten-de-percutor/,SI
351970082,T902414-NKL,Bersa PERNO DEL SEGURO,Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-perno-del-seguro/,SI
351970084,T491212,Bersa PERNO DEL SEGURO AUTOMATICO DEL PERCUTOR,Bersa,3834.28,5,https://jgo.com.ar/productos/bersa-perno-del-seguro-automatico-del-percutor/,SI
351970087,TP22A1-2-PAV,Bersa PERNO EXTRACTOR,Bersa,3834.28,5,https://jgo.com.ar/productos/bersa-perno-extractor/,SI
351970090,TP22A17-NKL,Bersa PERNO PALANCA DE DESARME,Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-perno-palanca-de-desarme/,SI
351970091,T902418-PAV,Bersa PERNO TOPE DEL SEGURO,Bersa,7659.36,5,https://jgo.com.ar/productos/bersa-perno-tope-del-seguro/,SI
351970094,T901052-ANN,Bersa PLACA ADAPTADORA PARA MIRA HOLOGRÁFICA (TPR XT) - COMPATIBLE CON HUELLA DOCTER,Bersa,53333.78,5,https://jgo.com.ar/productos/bersa-placa-adaptadora-para-mira-holografica/,SI
351970097,T901057-ANN,Bersa PLACA ADAPTADORA PARA MIRA HOLOGRÁFICA HUELLA RMR PARA MODELOS TPR XT,Bersa,68443.65,5,https://jgo.com.ar/productos/bersa-placa-adaptadora-para-mira-holografica-h/,SI
351970098,T471057-ANN,Bersa PLACA ADAPTADORA PARA MIRA HOLOGRÁFICA OSIGHT ADAPTA HUELLA RMSc a HUELLA RMR - PARA BP9FS ANODIZADDA NEGRO,Bersa,68443.65,5,https://jgo.com.ar/productos/bersa-placa-adaptadora-para-mira-holografica-o/,SI
351970101,T491053-ANN,Bersa PLACA CON ALZA INTEGRADA PARA BPccCT,Bersa,65323.67,5,https://jgo.com.ar/productos/bersa-placa-con-alza-integrada-para-bpccct/,SI
351970103,GF-NPL21B,Bersa RABIZA DE NYLON CON CABLE DE ACERO RECUBIERTO - INCLUYE GANCHO DOBLE DE SEGURIDAD,Bersa,23207.80,5,https://jgo.com.ar/productos/bersa-rabiza-de-nylon-con-cable-de-acero-recub/,SI
351970104,T451536,Bersa REFUERZO RESORTE RECUPERADOR,Bersa,12468.29,5,https://jgo.com.ar/productos/bersa-refuerzo-resorte-recuperador/,SI
351970107,T911536,Bersa REFUERZO RESORTE RECUPERADOR 9/40 / 45,Bersa,12468.29,5,https://jgo.com.ar/productos/bersa-refuerzo-resorte-recuperador-9-40-45/,SI
351970110,TP380CCA44,Bersa RESALTADOR DEL SENSOR,Bersa,1471.19,5,https://jgo.com.ar/productos/bersa-resaltador-del-sensor/,SI
351970111,T902415,Bersa RESOERTE DEL SEGURO,Bersa,4367.58,5,https://jgo.com.ar/productos/bersa-resoerte-del-seguro/,SI
351970113,TP22B18,Bersa RESOERTE DEL SEGURO DE CARGADOR,Bersa,4082.54,5,https://jgo.com.ar/productos/bersa-resoerte-del-seguro-de-cargador/,SI
351970115,T451535,Bersa RESOERTE RECUPERADOR,Bersa,12468.29,5,https://jgo.com.ar/productos/bersa-resoerte-recuperador/,SI
351970117,T904004,Bersa RESORTE DE DISPARADOR,Bersa,3503.26,5,https://jgo.com.ar/productos/bersa-resorte-de-disparador/,SI
351970121,T905104,Bersa RESORTE DE MARTILLO 9/40,Bersa,6896.18,5,https://jgo.com.ar/productos/bersa-resorte-de-martillo-9-40/,SI
351970122,T915104,Bersa RESORTE DE MARTILLO COMPACTA 9/40,Bersa,6896.18,5,https://jgo.com.ar/productos/bersa-resorte-de-martillo-compacta-9-40/,SI
351970123,T901206,Bersa RESORTE DE PERCUTOR,Bersa,2974.55,5,https://jgo.com.ar/productos/bersa-resorte-de-percutor/,SI
351970125,T901212,Bersa RESORTE DEL EXTRACTOR (ANTERIOR 2022),Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-resorte-del-extractor-anterior-2022/,SI
351970127,T905209PXT,Bersa RESORTE DEL FIADOR,Bersa,3503.26,5,https://jgo.com.ar/productos/bersa-resorte-del-fiador/,SI
351970129,T492403,Bersa RESORTE DEL RETEN DE CARGADOR,Bersa,3903.24,5,https://jgo.com.ar/productos/bersa-resorte-del-reten-de-cargador/,SI
351970130,T491211,Bersa RESORTE DEL RETEN DE PERCUTOR,Bersa,4367.58,5,https://jgo.com.ar/productos/bersa-resorte-del-reten-de-percutor/,SI
351970131,T901208P,Bersa RESORTE DEL SEGURO AUTOMATICO DEL PERCUTOR,Bersa,6597.35,5,https://jgo.com.ar/productos/bersa-resorte-del-seguro-automatico-del-percut/,SI
351970135,TP380CCA43,Bersa RESORTE DEL SENSOR,Bersa,3797.50,5,https://jgo.com.ar/productos/bersa-resorte-del-sensor/,SI
351970136,TPB380B23,Bersa RESORTE DEL TIRANTE DE MARTILLO,Bersa,5011.22,5,https://jgo.com.ar/productos/bersa-resorte-del-tirante-de-martillo/,SI
351970138,T491209,Bersa RESORTE EXTERNO DEL PERCUTOR,Bersa,3002.14,5,https://jgo.com.ar/productos/bersa-resorte-externo-del-percutor/,SI
351970141,TP22A6,Bersa RESORTE EXTRACTOR,Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-resorte-extractor/,SI
351970142,T491306,Bersa RESORTE EXTRACTOR NUEVO ( POSTERIOR 2022 ),Bersa,4427.35,5,https://jgo.com.ar/productos/bersa-resorte-extractor-nuevo-posterior-2022/,SI
351970144,T901502,Bersa RESORTE INDICADOR DE BALA EN RECAMARA,Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-resorte-indicador-de-bala-en-recamara/,SI
351970146,TP22A18,Bersa RESORTE PALANCA DE DESARME,Bersa,4730.78,5,https://jgo.com.ar/productos/bersa-resorte-palanca-de-desarme/,SI
351970147,TP22A9,Bersa RESORTE RECUPERADOR,Bersa,15479.62,5,https://jgo.com.ar/productos/bersa-resorte-recuperador/,SI
351970149,T911535,Bersa RESORTE RECUPERADOR COMPACTA 9/40 / 45,Bersa,12468.29,5,https://jgo.com.ar/productos/bersa-resorte-recuperador-compacta-9-40-45/,SI
351970152,T901104,Bersa RESORTE RECUPERADOR FULL 9/40,Bersa,12468.29,5,https://jgo.com.ar/productos/bersa-resorte-recuperador-full-9-40/,SI
351970153,TP22A10,Bersa RESORTE RECUPERADOR LIGHT - 2700g APTO PARA MUNICION STANDARD,Bersa,15631.34,5,https://jgo.com.ar/productos/bersa-resorte-recuperador-light-2700g-apto-p/,SI
